year,events,known_labels,unknown_labels,unknown_percent
2010,1302,1302,0,0.0
2011,1704,1704,0,0.0
2012,948,948,0,0.0
2013,916,916,0,0.0
2014,928,928,0,0.0
2015,1182,1182,0,0.0
2016,976,945,31,3.1762295081967213
2017,1442,1376,66,4.5769764216366156
2018,1138,1121,17,1.4938488576449913
2019,1534,1349,185,12.059973924380705
2020,1090,984,106,9.724770642201834
2021,1328,1121,207,15.587349397590362
2022,1167,1012,155,13.281919451585262
2023,1321,1053,268,20.287660862982587
2024,1805,1549,256,14.182825484764543
2025,1383,1149,234,16.919739696312366
