view,feature,missing_events,total_events,missing_percent
Onset,start_longitude,0,20164,0.0
Onset,start_latitude,0,20164,0.0
Onset,month,0,20164,0.0
Onset,hour_utc,0,20164,0.0
Onset,radar_tvs_count,0,20164,0.0
Onset,radar_mda_count,0,20164,0.0
Onset,radar_structure_count,0,20164,0.0
Onset,radar_max_shear_per_s,13260,20164,65.76076175362032
Onset,radar_max_velocity_difference_knots,13260,20164,65.76076175362032
Onset,radar_max_rotation_velocity_knots,5236,20164,25.967070025788534
Onset,radar_max_reflectivity_dbz,1526,20164,7.567942868478476
Onset,radar_max_vil_kg_m2,1526,20164,7.567942868478476
Onset,warning_active_tornado_count,0,20164,0.0
Onset,warning_active_severe_count,0,20164,0.0
Onset,warning_tornado_lead_minutes,8819,20164,43.73636183296965
Retrospective,start_longitude,0,20164,0.0
Retrospective,start_latitude,0,20164,0.0
Retrospective,month,0,20164,0.0
Retrospective,hour_utc,0,20164,0.0
Retrospective,radar_tvs_count,0,20164,0.0
Retrospective,radar_mda_count,0,20164,0.0
Retrospective,radar_structure_count,0,20164,0.0
Retrospective,radar_max_shear_per_s,13260,20164,65.76076175362032
Retrospective,radar_max_velocity_difference_knots,13260,20164,65.76076175362032
Retrospective,radar_max_rotation_velocity_knots,5236,20164,25.967070025788534
Retrospective,radar_max_reflectivity_dbz,1526,20164,7.567942868478476
Retrospective,radar_max_vil_kg_m2,1526,20164,7.567942868478476
Retrospective,warning_active_tornado_count,0,20164,0.0
Retrospective,warning_active_severe_count,0,20164,0.0
Retrospective,warning_tornado_lead_minutes,8819,20164,43.73636183296965
Retrospective,post_end_longitude,0,20164,0.0
Retrospective,post_end_latitude,0,20164,0.0
Retrospective,post_path_length_miles,0,20164,0.0
Retrospective,post_path_width_yards,0,20164,0.0
Retrospective,post_duration_minutes,0,20164,0.0
Retrospective,post_radar_tvs_count,0,20164,0.0
Retrospective,post_radar_mda_count,0,20164,0.0
Retrospective,post_radar_structure_count,0,20164,0.0
Retrospective,post_radar_max_shear_per_s,10564,20164,52.39039873041063
Retrospective,post_radar_max_velocity_difference_knots,10564,20164,52.39039873041063
Retrospective,post_radar_max_rotation_velocity_knots,3583,20164,17.769291807181116
Retrospective,post_radar_max_reflectivity_dbz,983,20164,4.875024796667328
Retrospective,post_radar_max_vil_kg_m2,983,20164,4.875024796667328
Retrospective,post_land_developed_fraction,317,20164,1.5721087085895655
Retrospective,post_land_forest_fraction,317,20164,1.5721087085895655
Retrospective,post_land_cropland_fraction,317,20164,1.5721087085895655
Retrospective,post_impervious_mean_percent,316,20164,1.5671493751239833
