year,feature,missing_events,total_events,missing_percent
2010,start_longitude,0,1302,0.0
2010,start_latitude,0,1302,0.0
2010,month,0,1302,0.0
2010,hour_utc,0,1302,0.0
2010,radar_tvs_count,0,1302,0.0
2010,radar_mda_count,0,1302,0.0
2010,radar_structure_count,0,1302,0.0
2010,radar_max_shear_per_s,836,1302,64.20890937019969
2010,radar_max_velocity_difference_knots,836,1302,64.20890937019969
2010,radar_max_rotation_velocity_knots,366,1302,28.110599078341014
2010,radar_max_reflectivity_dbz,32,1302,2.457757296466974
2010,radar_max_vil_kg_m2,32,1302,2.457757296466974
2010,warning_active_tornado_count,0,1302,0.0
2010,warning_active_severe_count,0,1302,0.0
2010,warning_tornado_lead_minutes,459,1302,35.25345622119816
2011,start_longitude,0,1704,0.0
2011,start_latitude,0,1704,0.0
2011,month,0,1704,0.0
2011,hour_utc,0,1704,0.0
2011,radar_tvs_count,0,1704,0.0
2011,radar_mda_count,0,1704,0.0
2011,radar_structure_count,0,1704,0.0
2011,radar_max_shear_per_s,1077,1704,63.20422535211268
2011,radar_max_velocity_difference_knots,1077,1704,63.20422535211268
2011,radar_max_rotation_velocity_knots,284,1704,16.666666666666668
2011,radar_max_reflectivity_dbz,59,1704,3.4624413145539905
2011,radar_max_vil_kg_m2,59,1704,3.4624413145539905
2011,warning_active_tornado_count,0,1704,0.0
2011,warning_active_severe_count,0,1704,0.0
2011,warning_tornado_lead_minutes,519,1704,30.45774647887324
2012,start_longitude,0,948,0.0
2012,start_latitude,0,948,0.0
2012,month,0,948,0.0
2012,hour_utc,0,948,0.0
2012,radar_tvs_count,0,948,0.0
2012,radar_mda_count,0,948,0.0
2012,radar_structure_count,0,948,0.0
2012,radar_max_shear_per_s,597,948,62.9746835443038
2012,radar_max_velocity_difference_knots,597,948,62.9746835443038
2012,radar_max_rotation_velocity_knots,229,948,24.156118143459917
2012,radar_max_reflectivity_dbz,30,948,3.1645569620253164
2012,radar_max_vil_kg_m2,30,948,3.1645569620253164
2012,warning_active_tornado_count,0,948,0.0
2012,warning_active_severe_count,0,948,0.0
2012,warning_tornado_lead_minutes,369,948,38.924050632911396
2013,start_longitude,0,916,0.0
2013,start_latitude,0,916,0.0
2013,month,0,916,0.0
2013,hour_utc,0,916,0.0
2013,radar_tvs_count,0,916,0.0
2013,radar_mda_count,0,916,0.0
2013,radar_structure_count,0,916,0.0
2013,radar_max_shear_per_s,706,916,77.07423580786026
2013,radar_max_velocity_difference_knots,706,916,77.07423580786026
2013,radar_max_rotation_velocity_knots,380,916,41.48471615720524
2013,radar_max_reflectivity_dbz,238,916,25.982532751091703
2013,radar_max_vil_kg_m2,238,916,25.982532751091703
2013,warning_active_tornado_count,0,916,0.0
2013,warning_active_severe_count,0,916,0.0
2013,warning_tornado_lead_minutes,437,916,47.70742358078603
2014,start_longitude,0,928,0.0
2014,start_latitude,0,928,0.0
2014,month,0,928,0.0
2014,hour_utc,0,928,0.0
2014,radar_tvs_count,0,928,0.0
2014,radar_mda_count,0,928,0.0
2014,radar_structure_count,0,928,0.0
2014,radar_max_shear_per_s,609,928,65.625
2014,radar_max_velocity_difference_knots,609,928,65.625
2014,radar_max_rotation_velocity_knots,267,928,28.771551724137932
2014,radar_max_reflectivity_dbz,89,928,9.59051724137931
2014,radar_max_vil_kg_m2,89,928,9.59051724137931
2014,warning_active_tornado_count,0,928,0.0
2014,warning_active_severe_count,0,928,0.0
2014,warning_tornado_lead_minutes,494,928,53.23275862068966
2015,start_longitude,0,1182,0.0
2015,start_latitude,0,1182,0.0
2015,month,0,1182,0.0
2015,hour_utc,0,1182,0.0
2015,radar_tvs_count,0,1182,0.0
2015,radar_mda_count,0,1182,0.0
2015,radar_structure_count,0,1182,0.0
2015,radar_max_shear_per_s,764,1182,64.63620981387479
2015,radar_max_velocity_difference_knots,764,1182,64.63620981387479
2015,radar_max_rotation_velocity_knots,320,1182,27.072758037225043
2015,radar_max_reflectivity_dbz,49,1182,4.145516074450085
2015,radar_max_vil_kg_m2,49,1182,4.145516074450085
2015,warning_active_tornado_count,0,1182,0.0
2015,warning_active_severe_count,0,1182,0.0
2015,warning_tornado_lead_minutes,549,1182,46.44670050761421
2016,start_longitude,0,976,0.0
2016,start_latitude,0,976,0.0
2016,month,0,976,0.0
2016,hour_utc,0,976,0.0
2016,radar_tvs_count,0,976,0.0
2016,radar_mda_count,0,976,0.0
2016,radar_structure_count,0,976,0.0
2016,radar_max_shear_per_s,682,976,69.87704918032787
2016,radar_max_velocity_difference_knots,682,976,69.87704918032787
2016,radar_max_rotation_velocity_knots,325,976,33.299180327868854
2016,radar_max_reflectivity_dbz,111,976,11.37295081967213
2016,radar_max_vil_kg_m2,111,976,11.37295081967213
2016,warning_active_tornado_count,0,976,0.0
2016,warning_active_severe_count,0,976,0.0
2016,warning_tornado_lead_minutes,455,976,46.618852459016395
2017,start_longitude,0,1442,0.0
2017,start_latitude,0,1442,0.0
2017,month,0,1442,0.0
2017,hour_utc,0,1442,0.0
2017,radar_tvs_count,0,1442,0.0
2017,radar_mda_count,0,1442,0.0
2017,radar_structure_count,0,1442,0.0
2017,radar_max_shear_per_s,901,1442,62.48266296809986
2017,radar_max_velocity_difference_knots,901,1442,62.48266296809986
2017,radar_max_rotation_velocity_knots,311,1442,21.56726768377254
2017,radar_max_reflectivity_dbz,61,1442,4.230235783633842
2017,radar_max_vil_kg_m2,61,1442,4.230235783633842
2017,warning_active_tornado_count,0,1442,0.0
2017,warning_active_severe_count,0,1442,0.0
2017,warning_tornado_lead_minutes,720,1442,49.930651872399444
2018,start_longitude,0,1138,0.0
2018,start_latitude,0,1138,0.0
2018,month,0,1138,0.0
