run,stage,view,name,formulation,members,sampling,weighting,optimizer,learning_rate,l2,dropout,completed,seconds,optimizer_updates,epoch,loss,val_loss,train_accuracy,train_cross_entropy,train_macro_f1,train_ef_mae,train_within_one,validation_accuracy,validation_cross_entropy,validation_macro_f1,validation_ef_mae,validation_within_one
Weighted softmax,Strategy,Retrospective,Weighted softmax,softmax,1,full,balanced,Adam,0.001,0.0,0.0,True,30.76464399299948,10300,50.0,0.2909837067127228,1.1919856071472168,0.7218457321251809,0.6084566651367281,0.8246265728107597,0.305033122668088,0.9738825858524328,0.5747432483834157,1.1919861494980077,0.2955612694345275,0.497907949790795,0.9319132750095093
Single ordinal,Strategy,Retrospective,Single ordinal,ordinal,1,full,none,Adam,0.001,0.0,0.0,True,27.200498051002796,10300,50.0,0.05803639441728592,0.3398250341415405,0.915556232391685,0.2625788228355031,0.7992207124239098,0.0845199116728851,0.9999238559354299,0.5796880943324458,1.5187204793364695,0.276773153961417,0.47280334728033474,0.9490300494484595
Full ordinal ensemble,Strategy,Retrospective,Full ordinal ensemble,ordinal,3,full,none,Adam,0.001,0.0,0.0,True,78.10418900199875,30900,50.0,0.05679355934262276,0.32919618487358093,0.9543897053224701,0.23399348441581125,0.8422075103748258,0.04561029467752989,1.0,0.605933815138836,1.0630940186831428,0.31547247955541796,0.42906047926968427,0.9657664511220997
Subset ordinal ensemble,Strategy,Retrospective,Subset ordinal ensemble,ordinal,3,partial,none,Adam,0.001,0.0,0.0,True,31.9923989730014,9750,50.0,0.08633789171775182,0.29758960008621216,0.7488007309830199,0.672986475638754,0.7656490118708197,0.2674940988349958,0.9839336023756948,0.5739825028527957,1.0172122504146677,0.3188591389191143,0.4910612400152149,0.9379992392544694
Weighted subset ordinal,Strategy,Retrospective,Weighted subset ordinal,ordinal,3,partial,sqrt,Adam,0.001,0.0,0.0,True,28.93441606899796,9750,50.0,0.09471972783406575,0.28196019927660626,0.7368461128455037,0.6919077169875488,0.8362417427120364,0.2830274880073098,0.9805071194700373,0.5652339292506656,0.998412024333356,0.28204971893582137,0.501711677443895,0.9360973754279194
SGD-1,Modeling,Retrospective,SGD-1,ordinal,3,partial,none,SGD,0.1,0.0,0.0,True,21.909575985999254,9750,50.0,0.14949039618174234,0.21712968746821085,0.6593314551130739,0.7622339666771105,0.42474037397331527,0.35810553567349424,0.9825630092134318,0.5827310764549258,0.9120570076390813,0.31449182272881043,0.4598706732597946,0.9581589958158996
SGD-2,Modeling,Retrospective,SGD-2,ordinal,3,partial,none,SGD,0.01,0.0,0.0,True,21.785150100000465,9750,50.0,0.25413308540980023,0.21486259996891022,0.5368156552196757,0.9646919546643101,0.2258913887902524,0.5196832406913882,0.9463945785426026,0.5443134271586154,0.9663623354227414,0.20191540491119,0.5317611259033853,0.9277291745910993
SGD-3,Modeling,Retrospective,SGD-3,ordinal,3,partial,none,SGD,0.001,0.0,0.0,True,22.998854981000477,9750,50.0,0.33276482423146564,0.27941365043322247,0.4873981573136374,1.190385375361181,0.13597840755735494,0.6671742937638011,0.8767227594609001,0.503233168505135,1.1802348786132992,0.11167384147885541,0.6508178014454165,0.8725751236211488
L2,Modeling,Retrospective,L2,ordinal,3,partial,none,Adam,0.001,0.001,0.0,True,30.397920141000213,9750,50.0,0.18546725312868753,0.2205601433912913,0.6630625142770121,0.7580555513866641,0.3904940096448182,0.3513287139267494,0.9856087717962385,0.602890833016356,0.878453999274759,0.3245379277188662,0.4340053252187143,0.9638645872955497
Dropout-1,Modeling,Retrospective,Dropout-1,ordinal,3,partial,none,Adam,0.001,0.0,0.2,True,32.219448851999914,9750,50.0,0.1639294425646464,0.20330180724461874,0.688570775908018,0.7426069296974233,0.4090402154112062,0.3239929947460595,0.9874362293459225,0.603651578546976,0.8768720965709341,0.32370438328783574,0.4309623430962343,0.9657664511220997
