epoch,loss,val_loss,train_accuracy,train_cross_entropy,train_macro_f1,train_ef_mae,train_within_one,validation_accuracy,validation_cross_entropy,validation_macro_f1,validation_ef_mae,validation_within_one,run,stage,formulation,members,sampling,weighting,optimizer,learning_rate,l2,dropout
1,1.581873893737793,0.9900153875350952,0.5918678139039062,0.9431642676493533,0.3369730589708635,0.4961547247392066,0.9233229269778421,0.5755039939140357,0.9900158404686826,0.3014077134266078,0.5298592620768353,0.9128946367440092,Weighted softmax,Strategy,softmax,1,full,balanced,Adam,0.001,0.0,0.0
2,1.1699364185333252,0.9663441777229309,0.6134165841772634,0.8840106828583798,0.4365284813951202,0.4500875656742557,0.945633137896901,0.5774058577405857,0.9663452060807742,0.3184812553022905,0.5093191327500951,0.9296310384176493,Weighted softmax,Strategy,softmax,1,full,balanced,Adam,0.001,0.0,0.0
3,1.0083675384521484,1.1126255989074707,0.5538719256833929,1.025812577206997,0.3376868069959758,0.5643036625295058,0.9025355973501865,0.5192088246481552,1.1126274776382834,0.2739209597819966,0.6188664891593761,0.8870292887029289,Weighted softmax,Strategy,softmax,1,full,balanced,Adam,0.001,0.0,0.0
4,0.9149817228317261,0.9672222137451172,0.6079342115282114,0.8868372566762427,0.41267285754934385,0.458006548389553,0.9420543668621031,0.5572461011791555,0.9672217089931335,0.305649295310032,0.5218714340053252,0.9322936477748194,Weighted softmax,Strategy,softmax,1,full,balanced,Adam,0.001,0.0,0.0
5,0.8124601244926453,0.9341211915016174,0.626970227670753,0.8425796648384422,0.5120208212783983,0.42633061752836365,0.9546942815807508,0.5850133130467858,0.9341201619269667,0.312761020934281,0.48383415747432484,0.9410422213769494,Weighted softmax,Strategy,softmax,1,full,balanced,Adam,0.001,0.0,0.0
6,0.8084033131599426,0.9677804708480835,0.6113606944338689,0.8798567841717942,0.42621384509067645,0.464859514200868,0.9339830960176654,0.5762647394446557,0.9677818273699617,0.3334129457813682,0.5154050969950551,0.9216432103461392,Weighted softmax,Strategy,softmax,1,full,balanced,Adam,0.001,0.0,0.0
7,0.8385705947875977,0.9631637334823608,0.6102946775298865,0.8654283954195917,0.4517163391381886,0.45709281961471104,0.9400746211832788,0.5637124381894256,0.9631632864792785,0.31470959038773383,0.5298592620768353,0.9182198554583492,Weighted softmax,Strategy,softmax,1,full,balanced,Adam,0.001,0.0,0.0
8,0.735141932964325,1.0119881629943848,0.603670143912282,0.8919011626919995,0.4948651569748918,0.47749942891951574,0.9294905962080255,0.5557246101179155,1.0119881404327629,0.30104869628204217,0.5481171548117155,0.9106124001521491,Weighted softmax,Strategy,softmax,1,full,balanced,Adam,0.001,0.0,0.0
9,0.7006889581680298,0.9642883539199829,0.6236960328942359,0.8405056207706667,0.5443458490972923,0.4324982867585472,0.9487550445442777,0.5675161658425256,0.9642893367276095,0.3361396229966745,0.5127424876378851,0.9296310384176493,Weighted softmax,Strategy,softmax,1,full,balanced,Adam,0.001,0.0,0.0
10,0.6517907977104187,1.0591542720794678,0.5935429833244499,0.9231615390809433,0.4658154475307977,0.5108505292012487,0.9130434782608695,0.5405096995055154,1.0591574566692696,0.2903428256429266,0.5949030049448459,0.8877900342335489,Weighted softmax,Strategy,softmax,1,full,balanced,Adam,0.001,0.0,0.0
11,0.645771861076355,0.9962438941001892,0.6259803548313408,0.8499154109924184,0.5702644678222348,0.43980811695728317,0.9426635193786644,0.5614302015975656,0.9962455530273269,0.3162760026256858,0.5302396348421453,0.9186002282236592,Weighted softmax,Strategy,softmax,1,full,balanced,Adam,0.001,0.0,0.0
12,0.6179890632629395,0.9306513667106628,0.6527069214954694,0.7796983851043652,0.5827677336803656,0.4030305337698926,0.9514962308688037,0.5960441232407759,0.9306525575241001,0.3462940155949219,0.48345378470901484,0.9338151388360594,Weighted softmax,Strategy,softmax,1,full,balanced,Adam,0.001,0.0,0.0
13,0.6066139340400696,0.9965397715568542,0.6168430670829209,0.8408749874757695,0.5934782531228547,0.4487169725119927,0.9414452143455417,0.5663750475465956,0.9965411513525543,0.340757124702124,0.5256751616584252,0.9189806009889692,Weighted softmax,Strategy,softmax,1,full,balanced,Adam,0.001,0.0,0.0
14,0.6010822653770447,0.9418256282806396,0.6358790832254626,0.7871111803298892,0.608421013364091,0.40965506738749713,0.9583491966801188,0.5736021300874857,0.9418269558734651,0.32815841016203645,0.49562571319893495,0.9360973754279194,Weighted softmax,Strategy,softmax,1,full,balanced,Adam,0.001,0.0,0.0
15,0.5690959095954895,1.0220025777816772,0.6014619660397472,0.8517239756080369,0.6140523809696301,0.46371735323231555,0.9385517398918755,0.5355648535564853,1.0220021876341214,0.3150312788707276,0.5595283377710156,0.9125142639786992,Weighted softmax,Strategy,softmax,1,full,balanced,Adam,0.001,0.0,0.0
