view,feature,training_median
Onset,start_longitude,-92.1725
Onset,start_latitude,37.0571
Onset,radar_tvs_count,0.0
Onset,radar_mda_count,1.6094379124341003
Onset,radar_structure_count,3.258096538021482
Onset,radar_max_shear_per_s,0.038
Onset,radar_max_velocity_difference_knots,87.0
Onset,radar_max_rotation_velocity_knots,49.0
Onset,radar_max_reflectivity_dbz,61.0
Onset,radar_max_vil_kg_m2,49.0
Onset,warning_active_tornado_count,1.0
Onset,warning_active_severe_count,0.0
Onset,warning_tornado_lead_minutes,13.0
Onset,month_sin,0.49999999999999994
Onset,month_cos,-0.4999999999999998
Onset,hour_utc_sin,-0.25881904510252157
Onset,hour_utc_cos,0.7071067811865476
Retrospective,start_longitude,-92.1725
Retrospective,start_latitude,37.0571
Retrospective,radar_tvs_count,0.0
Retrospective,radar_mda_count,1.6094379124341003
Retrospective,radar_structure_count,3.258096538021482
Retrospective,radar_max_shear_per_s,0.038
Retrospective,radar_max_velocity_difference_knots,87.0
Retrospective,radar_max_rotation_velocity_knots,49.0
Retrospective,radar_max_reflectivity_dbz,61.0
Retrospective,radar_max_vil_kg_m2,49.0
Retrospective,warning_active_tornado_count,1.0
Retrospective,warning_active_severe_count,0.0
Retrospective,warning_tornado_lead_minutes,13.0
Retrospective,post_end_longitude,-92.122
Retrospective,post_end_latitude,37.0824
Retrospective,post_path_length_miles,0.9202827531436926
Retrospective,post_path_width_yards,4.330733340286331
Retrospective,post_duration_minutes,1.3862943611198906
Retrospective,post_radar_tvs_count,0.0
Retrospective,post_radar_mda_count,2.70805020110221
Retrospective,post_radar_structure_count,4.219507705176107
Retrospective,post_radar_max_shear_per_s,0.043
Retrospective,post_radar_max_velocity_difference_knots,95.0
Retrospective,post_radar_max_rotation_velocity_knots,55.0
Retrospective,post_radar_max_reflectivity_dbz,63.0
Retrospective,post_radar_max_vil_kg_m2,55.0
Retrospective,post_land_developed_fraction,0.07647058823529412
Retrospective,post_land_forest_fraction,0.032520325203252036
Retrospective,post_land_cropland_fraction,0.02702702702702703
Retrospective,post_impervious_mean_percent,0.8664549718152988
Retrospective,month_sin,0.49999999999999994
Retrospective,month_cos,-0.4999999999999998
Retrospective,hour_utc_sin,-0.25881904510252157
Retrospective,hour_utc_cos,0.7071067811865476
