feature,count,mean,std,min,25%,50%,75%,max,missing_percent,skew,spearman_with_ef
start_longitude,11771.0,-91.95430865686858,8.354071789810792,-158.0498,-97.4499,-92.1725,-86.4187,-64.7151,0.0,-0.34173069627669617,0.17844971518911026
start_latitude,11771.0,37.24896047064821,4.860403672505934,17.7212,33.43745,37.0571,40.77415,48.9832,0.0,0.09145273508101819,-0.08009568632685501
month,11771.0,5.8316200832554586,2.617766093586613,1.0,4.0,5.0,7.0,12.0,0.0,0.6036989254576315,-0.08889903711074099
radar_tvs_count,11771.0,1.6952680316030924,5.187429469927101,0.0,0.0,0.0,1.0,119.0,0.0,9.308888882222991,0.07541272781709979
radar_mda_count,11771.0,8.965933225724237,13.45192939143082,0.0,0.0,4.0,12.0,215.0,0.0,4.018526197088448,0.16413172581983915
radar_structure_count,11771.0,31.48925324951151,28.027946653089852,0.0,11.0,25.0,44.0,241.0,0.0,1.5202815740330335,-0.01701701699639851
radar_max_shear_per_s,4007.0,0.050011979036685805,0.04032621419033992,0.008,0.027,0.038,0.057,0.448,65.95871208903236,3.4153503750175376,0.04611768347903986
radar_max_velocity_difference_knots,4007.0,91.4349887696531,26.372598141717226,32.0,72.0,87.0,108.0,222.0,65.95871208903236,0.711544949904326,0.036835864137794425
radar_max_rotation_velocity_knots,8655.0,51.63004043905257,16.841460162020848,17.0,39.0,49.0,62.0,123.0,26.47183756690171,0.8220408066150938,0.06453211057606342
radar_max_reflectivity_dbz,10997.0,61.49358916068019,5.438474937252843,45.0,58.0,61.0,65.0,88.0,6.575482117067369,-0.03393335081993202,0.004677284157044937
radar_max_vil_kg_m2,10997.0,50.91734109302537,25.044220372899513,1.0,30.0,49.0,71.0,120.0,6.575482117067369,0.15850747480526317,0.047391748027496225
warning_active_tornado_count,11771.0,0.6168549825843174,0.5790168308029043,0.0,0.0,1.0,1.0,3.0,0.0,0.3378350103941581,0.11010943141289266
warning_active_severe_count,11771.0,0.4468609294027695,0.5494657567001042,0.0,0.0,0.0,1.0,3.0,0.0,0.7119564333055075,0.09495105533017366
warning_tornado_lead_minutes,6692.0,15.438135086670652,12.020366988019124,0.0,6.0,13.0,23.0,70.0,43.14841559765525,0.8821281171467287,0.053603420154114796
post_end_longitude,11771.0,-91.9075853878175,8.362382107253495,-158.0431,-97.4063,-92.122,-86.33585,-64.7151,0.0,-0.3463427980586473,0.18322660330232446
post_end_latitude,11771.0,37.271071123948694,4.854529744211105,17.7212,33.4787,37.0824,40.78545,48.998,0.0,0.08776031748987274,-0.07613772616291714
post_path_length_miles,11771.0,3.5857565202616604,6.426871522353759,0.01,0.42,1.51,4.23,148.97,0.0,6.636660573998088,0.5560703197280642
post_path_width_yards,11771.0,171.24747260215784,267.2972239976797,1.0,50.0,75.0,200.0,4576.0,0.0,4.239170652730687,0.6366646055915564
post_duration_minutes,11771.0,6.433268201512191,9.416260327396195,0.0,1.0,3.0,8.0,173.0,0.0,4.961069310029738,0.4713798311712567
post_radar_tvs_count,11771.0,4.658397757199898,11.907050870817947,0.0,0.0,0.0,5.0,237.0,0.0,7.405725971867301,0.13601064197396384
post_radar_mda_count,11771.0,23.48160734007306,31.128896889857263,0.0,2.0,14.0,33.0,399.0,0.0,3.296071488620455,0.20622826340322475
post_radar_structure_count,11771.0,79.18987341772151,58.568317393335114,0.0,37.0,67.0,109.0,467.0,0.0,1.2791222420328405,0.029663763257573278
post_radar_max_shear_per_s,5600.0,0.058728749999999996,0.04921893776623565,0.008,0.031,0.043,0.068,0.496,52.42545238297511,3.0447987422741414,0.1066028774861619
post_radar_max_velocity_difference_knots,5600.0,98.25,28.544998363897793,32.0,77.0,95.0,118.0,222.0,52.42545238297511,0.5032502636434891,0.12537196260720931
post_radar_max_rotation_velocity_knots,9697.0,56.75074765391358,18.374750388617766,13.0,43.0,55.0,69.0,123.0,17.619573528162434,0.5724224080241408,0.12808151006112622
post_radar_max_reflectivity_dbz,11289.0,62.781380104526534,5.327878602742456,45.0,59.0,63.0,67.0,88.0,4.094809277036785,-0.026852832870649837,-0.0025095851814018488
post_radar_max_vil_kg_m2,11289.0,55.427052883337765,24.774482800966936,1.0,35.0,55.0,76.0,120.0,4.094809277036785,0.04990172162603623,0.05638189173594858
post_land_developed_fraction,11617.0,0.19048461557651958,0.26894506815830144,0.0,0.035398230088495575,0.07647058823529412,0.2,1.0,1.3083000594681844,1.936483945018031,0.15917716668629775
post_land_forest_fraction,11617.0,0.16882355933281515,0.23640976092962618,0.0,0.0,0.032520325203252036,0.2904761904761905,1.0,1.3083000594681844,1.434801910372914,0.31635604186521604
post_land_cropland_fraction,11617.0,0.2738493058032917,0.3553467972257812,0.0,0.0,0.02702702702702703,0.5664652567975831,1.0,1.3083000594681844,0.9023353028013353,-0.02781588587352675
post_impervious_mean_percent,11617.0,6.2490343933598025,12.415277894139415,0.0,0.5250391476557462,1.3784641679892564,4.498829039812646,92.0,1.3083000594681844,3.072479860239183,0.17046310296036865
