epoch,accuracy,loss,val_accuracy,val_loss,run,optimizer,learning_rate,l2,dropout
1,0.5584062337875366,1.6256290674209595,0.5126724243164062,0.9972417950630188,Baseline,Adam,0.001,0.0,0.0
2,0.6086993217468262,1.131314992904663,0.5351299047470093,0.9395609498023987,Baseline,Adam,0.001,0.0,0.0
3,0.6224619746208191,0.9720506072044373,0.5046519041061401,0.905421257019043,Baseline,Adam,0.001,0.0,0.0
4,0.6182991862297058,0.9368106722831726,0.525826096534729,0.8888843655586243,Baseline,Adam,0.001,0.0,0.0
5,0.6257752180099487,0.8769529461860657,0.5110683441162109,0.8770717978477478,Baseline,Adam,0.001,0.0,0.0
6,0.6333361864089966,0.786984920501709,0.5338466763496399,0.8420207500457764,Baseline,Adam,0.001,0.0,0.0
7,0.6253504157066345,0.7754029035568237,0.5126724243164062,0.9094446897506714,Baseline,Adam,0.001,0.0,0.0
8,0.6334211230278015,0.7164653539657593,0.5299968123435974,0.8823161721229553,Baseline,Adam,0.001,0.0,0.0
9,0.6426811814308167,0.686375081539154,0.5024061799049377,0.9154585003852844,Baseline,Adam,0.001,0.0,0.0
10,0.6414918303489685,0.6747830510139465,0.47128650546073914,0.9431061744689941,Baseline,Adam,0.001,0.0,0.0
11,0.6453147530555725,0.6341030597686768,0.564324676990509,0.9079912304878235,Baseline,Adam,0.001,0.0,0.0
12,0.6510916948318481,0.6298460364341736,0.5688161849975586,0.9709807634353638,Baseline,Adam,0.001,0.0,0.0
13,0.6493076086044312,0.5989184379577637,0.5152390003204346,0.9893682599067688,Baseline,Adam,0.001,0.0,0.0
14,0.6553394198417664,0.6051910519599915,0.5556625127792358,1.0116031169891357,Baseline,Adam,0.001,0.0,0.0
15,0.6595021486282349,0.569475531578064,0.5290343165397644,1.1148080825805664,Baseline,Adam,0.001,0.0,0.0
16,0.6617109775543213,0.5357339382171631,0.5287135243415833,1.133103609085083,Baseline,Adam,0.001,0.0,0.0
17,0.6603516936302185,0.5537165999412537,0.5556625127792358,1.1421047449111938,Baseline,Adam,0.001,0.0,0.0
18,0.6645144820213318,0.5177804827690125,0.5463587045669556,1.2191356420516968,Baseline,Adam,0.001,0.0,0.0
19,0.6724152565002441,0.49657735228538513,0.5697786211967468,1.2357813119888306,Baseline,Adam,0.001,0.0,0.0
20,0.6725851893424988,0.49153968691825867,0.5453962087631226,1.3089568614959717,Baseline,Adam,0.001,0.0,0.0
21,0.6742842793464661,0.47058671712875366,0.5437921285629272,1.1770849227905273,Baseline,Adam,0.001,0.0,0.0
22,0.6804009675979614,0.4552866220474243,0.5373756885528564,1.3089118003845215,Baseline,Adam,0.001,0.0,0.0
23,0.6885566115379333,0.43438592553138733,0.5370548367500305,1.5006335973739624,Baseline,Adam,0.001,0.0,0.0
24,0.6886415481567383,0.42843097448349,0.5068976283073425,1.5096503496170044,Baseline,Adam,0.001,0.0,0.0
25,0.691190242767334,0.41077950596809387,0.5505293607711792,1.4595483541488647,Baseline,Adam,0.001,0.0,0.0
26,0.6949282288551331,0.4021438956260681,0.5829322934150696,1.6544259786605835,Baseline,Adam,0.001,0.0,0.0
27,0.6924645304679871,0.3923565149307251,0.5367340445518494,1.7360776662826538,Baseline,Adam,0.001,0.0,0.0
28,0.6998555660247803,0.390212744474411,0.555983304977417,1.5874269008636475,Baseline,Adam,0.001,0.0,0.0
29,0.6922945976257324,0.531435489654541,0.5040102601051331,1.4621268510818481,Baseline,Adam,0.001,0.0,0.0
30,0.6876221299171448,0.48238903284072876,0.5518126487731934,1.601308822631836,Baseline,Adam,0.001,0.0,0.0
31,0.6959476470947266,0.41056790947914124,0.5399422645568848,1.7637656927108765,Baseline,Adam,0.001,0.0,0.0
32,0.7137881517410278,0.3637506663799286,0.5354507565498352,1.7406704425811768,Baseline,Adam,0.001,0.0,0.0
33,0.7150624394416809,0.34508517384529114,0.5598331689834595,1.8058276176452637,Baseline,Adam,0.001,0.0,0.0
34,0.7166765928268433,0.338150292634964,0.5389797687530518,1.8318315744400024,Baseline,Adam,0.001,0.0,0.0
35,0.7176960110664368,0.33220258355140686,0.5463587045669556,1.853359341621399,Baseline,Adam,0.001,0.0,0.0
36,0.7216889262199402,0.3218288719654083,0.5723451972007751,1.9677780866622925,Baseline,Adam,0.001,0.0,0.0
37,0.7210092544555664,0.3226858675479889,0.5354507565498352,1.9908894300460815,Baseline,Adam,0.001,0.0,0.0
38,0.7155721783638,0.36576709151268005,0.5360924005508423,1.7731865644454956,Baseline,Adam,0.001,0.0,0.0
39,0.7222836017608643,0.33215638995170593,0.5514917969703674,1.8548516035079956,Baseline,Adam,0.001,0.0,0.0
40,0.7288250923156738,0.30828696489334106,0.5566249489784241,1.9892094135284424,Baseline,Adam,0.001,0.0,0.0
41,0.7323931455612183,0.3022952377796173,0.5537375807762146,2.007719039916992,Baseline,Adam,0.001,0.0,0.0
42,0.7360461950302124,0.29056382179260254,0.5550208687782288,2.072399377822876,Baseline,Adam,0.001,0.0,0.0
43,0.7392745018005371,0.28426840901374817,0.5498877167701721,2.115899085998535,Baseline,Adam,0.001,0.0,0.0
44,0.7417381405830383,0.2823195457458496,0.5393006205558777,2.2115378379821777,Baseline,Adam,0.001,0.0,0.0
45,0.7471752762794495,0.2789449095726013,0.5460378527641296,2.0783824920654297,Baseline,Adam,0.001,0.0,0.0
